txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_a_read_65	read	a	gmem_a	64	79	256	1	0	16	1430	1431			a
txn_b_read_65	read	b	gmem_b	1	241	0	16	15	16	1430	1446			b
txn_c_write_65	write	c	gmem_c	65	65	260	1	0	1	1451	1452	txn_a_read_65,txn_b_read_65	txn_a_read_65:llvm_def_use:ssa_value,txn_b_read_65:llvm_def_use:ssa_value	c
txn_a_read_66	read	a	gmem_a	64	79	256	1	0	16	1452	1453			a
txn_b_read_66	read	b	gmem_b	2	242	0	16	15	16	1452	1468			b
txn_c_write_66	write	c	gmem_c	66	66	264	1	0	1	1473	1474	txn_a_read_66,txn_b_read_66	txn_a_read_66:llvm_def_use:ssa_value,txn_b_read_66:llvm_def_use:ssa_value	c
txn_a_read_67	read	a	gmem_a	64	79	256	1	0	16	1474	1475			a
txn_b_read_67	read	b	gmem_b	3	243	0	16	15	16	1474	1490			b
txn_c_write_67	write	c	gmem_c	67	67	268	1	0	1	1495	1496	txn_a_read_67,txn_b_read_67	txn_a_read_67:llvm_def_use:ssa_value,txn_b_read_67:llvm_def_use:ssa_value	c
txn_a_read_68	read	a	gmem_a	64	79	256	1	0	16	1496	1497			a
txn_b_read_68	read	b	gmem_b	4	244	0	16	15	16	1496	1512			b
txn_c_write_68	write	c	gmem_c	68	68	272	1	0	1	1517	1518	txn_a_read_68,txn_b_read_68	txn_a_read_68:llvm_def_use:ssa_value,txn_b_read_68:llvm_def_use:ssa_value	c
txn_a_read_69	read	a	gmem_a	64	79	256	1	0	16	1518	1519			a
txn_b_read_69	read	b	gmem_b	5	245	0	16	15	16	1518	1534			b
txn_c_write_69	write	c	gmem_c	69	69	276	1	0	1	1539	1540	txn_a_read_69,txn_b_read_69	txn_a_read_69:llvm_def_use:ssa_value,txn_b_read_69:llvm_def_use:ssa_value	c
txn_a_read_70	read	a	gmem_a	64	79	256	1	0	16	1540	1541			a
txn_b_read_70	read	b	gmem_b	6	246	0	16	15	16	1540	1556			b
txn_c_write_70	write	c	gmem_c	70	70	280	1	0	1	1561	1562	txn_a_read_70,txn_b_read_70	txn_a_read_70:llvm_def_use:ssa_value,txn_b_read_70:llvm_def_use:ssa_value	c
txn_a_read_71	read	a	gmem_a	64	79	256	1	0	16	1562	1563			a
txn_b_read_71	read	b	gmem_b	7	247	0	16	15	16	1562	1578			b
txn_c_write_71	write	c	gmem_c	71	71	284	1	0	1	1583	1584	txn_a_read_71,txn_b_read_71	txn_a_read_71:llvm_def_use:ssa_value,txn_b_read_71:llvm_def_use:ssa_value	c
txn_a_read_72	read	a	gmem_a	64	79	256	1	0	16	1584	1585			a
txn_b_read_72	read	b	gmem_b	8	248	0	16	15	16	1584	1600			b
txn_c_write_72	write	c	gmem_c	72	72	288	1	0	1	1605	1606	txn_a_read_72,txn_b_read_72	txn_a_read_72:llvm_def_use:ssa_value,txn_b_read_72:llvm_def_use:ssa_value	c
txn_a_read_73	read	a	gmem_a	64	79	256	1	0	16	1606	1607			a
txn_b_read_73	read	b	gmem_b	9	249	0	16	15	16	1606	1622			b
txn_c_write_73	write	c	gmem_c	73	73	292	1	0	1	1627	1628	txn_a_read_73,txn_b_read_73	txn_a_read_73:llvm_def_use:ssa_value,txn_b_read_73:llvm_def_use:ssa_value	c
txn_a_read_74	read	a	gmem_a	64	79	256	1	0	16	1628	1629			a
txn_b_read_74	read	b	gmem_b	10	250	0	16	15	16	1628	1644			b
txn_c_write_74	write	c	gmem_c	74	74	296	1	0	1	1649	1650	txn_a_read_74,txn_b_read_74	txn_a_read_74:llvm_def_use:ssa_value,txn_b_read_74:llvm_def_use:ssa_value	c
txn_a_read_75	read	a	gmem_a	64	79	256	1	0	16	1650	1651			a
txn_b_read_75	read	b	gmem_b	11	251	0	16	15	16	1650	1666			b
txn_c_write_75	write	c	gmem_c	75	75	300	1	0	1	1671	1672	txn_a_read_75,txn_b_read_75	txn_a_read_75:llvm_def_use:ssa_value,txn_b_read_75:llvm_def_use:ssa_value	c
txn_a_read_76	read	a	gmem_a	64	79	256	1	0	16	1672	1673			a
txn_b_read_76	read	b	gmem_b	12	252	0	16	15	16	1672	1688			b
